date,report_date,platform,daily_downloads,cumulative_total
2026-01-15,2026-01-15,appstore,7,219
2026-01-15,2026-01-15,googleplay,0,0
2026-01-16,2026-01-16,appstore,2,221
2026-01-16,2026-01-16,googleplay,0,0
2026-01-17,2026-01-17,appstore,3,224
2026-01-17,2026-01-17,googleplay,0,0
2026-01-18,2026-01-18,appstore,3,227
2026-01-18,2026-01-18,googleplay,0,0
2026-01-19,2026-01-19,appstore,7,234
2026-01-19,2026-01-19,googleplay,0,0
2026-01-20,2026-01-20,appstore,2,236
2026-01-20,2026-01-20,googleplay,0,0
2026-01-21,2026-01-21,appstore,5,241
2026-01-21,2026-01-21,googleplay,0,0
2026-01-22,2026-01-22,appstore,2,243
2026-01-22,2026-01-22,googleplay,0,0
2026-01-23,2026-01-23,appstore,3,246
2026-01-23,2026-01-23,googleplay,0,0
2026-01-24,2026-01-24,appstore,6,252
2026-01-24,2026-01-24,googleplay,0,0
2026-01-25,2026-01-25,appstore,2,254
2026-01-25,2026-01-25,googleplay,2,2
2026-01-26,2026-01-26,appstore,3,257
2026-01-26,2026-01-26,googleplay,1,3
2026-01-27,2026-01-27,appstore,5,262
2026-01-27,2026-01-27,googleplay,1,4
2026-01-28,2026-01-28,appstore,5,267
2026-01-28,2026-01-28,googleplay,1,5
2026-01-29,2026-01-29,appstore,4,271
2026-01-29,2026-01-29,googleplay,3,8
2026-01-30,2026-01-30,appstore,8,279
2026-01-30,2026-01-30,googleplay,1,9
2026-01-31,2026-01-31,appstore,7,286
2026-01-31,2026-01-31,googleplay,2,11
2026-02-01,2026-02-01,appstore,4,290
2026-02-01,2026-02-01,googleplay,3,14
2026-02-02,2026-02-02,appstore,3,293
2026-02-02,2026-02-02,googleplay,4,18
2026-02-03,2026-02-03,appstore,8,301
2026-02-03,2026-02-03,googleplay,108,126
2026-02-04,2026-02-04,appstore,2,303
2026-02-04,2026-02-04,googleplay,5,131
2026-02-05,2026-02-05,appstore,5,308
2026-02-05,2026-02-05,googleplay,4,135
2026-02-06,2026-02-06,appstore,4,312
2026-02-06,2026-02-06,googleplay,7,142
2026-02-07,2026-02-07,appstore,6,318
2026-02-07,2026-02-07,googleplay,1,143
2026-02-08,2026-02-08,appstore,8,326
2026-02-08,2026-02-08,googleplay,2,145
2026-02-09,2026-02-09,appstore,7,333
2026-02-09,2026-02-09,googleplay,8,153
2026-02-10,2026-02-10,appstore,6,339
2026-02-10,2026-02-10,googleplay,2,155
2026-02-11,2026-02-11,appstore,5,344
2026-02-11,2026-02-11,googleplay,6,161
2026-02-12,2026-02-12,appstore,6,350
2026-02-12,2026-02-12,googleplay,3,164
2026-02-13,2026-02-13,appstore,8,358
2026-02-13,2026-02-13,googleplay,0,164
2026-02-16,2026-02-14,appstore,1,359
2026-02-16,2026-02-14,googleplay,2,166
