fetched_on,report_date,platform,gross,net,transactions,refunds,trials,basis,native_gross
2026-09-06,2026-08-01,appstore,99.00,72.48,1,0,0,estimate,PHP:99.00
2026-09-06,2026-08-01,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-01,huawei,0.00,0.00,0,0,0,estimate,USD:0.00
2026-09-06,2026-08-02,appstore,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-02,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-02,huawei,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-03,appstore,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-03,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-03,huawei,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-04,appstore,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-04,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-04,huawei,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-05,appstore,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-05,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-05,huawei,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-06,appstore,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-06,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-06,huawei,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-07,appstore,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-07,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-07,huawei,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-08,appstore,0.00,0.00,0,0,1,estimate,PHP:0.00
2026-09-06,2026-08-08,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-08,huawei,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-09,appstore,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-09,googleplay,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-09,huawei,0.00,0.00,0,0,0,estimate,
2026-09-06,2026-08-10,appstore,0.00,0.00,0,0,0,estimate,
